
Dump of file C:\Windows\System32\nvcuda.dll

File Type: DLL

  Section contains the following exports for nvcuda_loader.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        361  168 00205CE0 cuMemcpyDtoD_v2_ptds
        362  169 00205CC2 cuMemcpyDtoH
        363  16A 0020620E cuMemcpyDtoHAsync
        364  16B 00206214 cuMemcpyDtoHAsync_v2
        365  16C 0020621A cuMemcpyDtoHAsync_v2_ptsz
        366  16D 00205CC8 cuMemcpyDtoH_v2
        367  16E 00205CCE cuMemcpyDtoH_v2_ptds
        368  16F 00205CE6 cuMemcpyHtoA
        369  170 00206220 cuMemcpyHtoAAsync
        370  171 00206226 cuMemcpyHtoAAsync_v2
        371  172 0020622C cuMemcpyHtoAAsync_v2_ptsz
        372  173 00205CEC cuMemcpyHtoA_v2
        373  174 00205CF2 cuMemcpyHtoA_v2_ptds
        374  175 00205CF8 cuMemcpyHtoD
        375  176 002061FC cuMemcpyHtoDAsync
        376  177 00206202 cuMemcpyHtoDAsync_v2
        377  178 00206208 cuMemcpyHtoDAsync_v2_ptsz
        378  179 00205CFE cuMemcpyHtoD_v2
        379  17A 00205D04 cuMemcpyHtoD_v2_ptds
        380  17B 002063C4 cuMemcpyPeer
        381  17C 002063D0 cuMemcpyPeerAsync
        382  17D 002063D6 cuMemcpyPeerAsync_ptsz
        383  17E 002063CA cuMemcpyPeer_ptds
        384  17F 00205C74 cuMemcpy_ptds
        385  180 00205D52 cuMemsetD16
        386  181 00206274 cuMemsetD16Async
        387  182 0020627A cuMemsetD16Async_ptsz
        388  183 00205D58 cuMemsetD16_v2
        389  184 00205D5E cuMemsetD16_v2_ptds
        390  185 00205D88 cuMemsetD2D16
        391  186 00206298 cuMemsetD2D16Async
        392  187 0020629E cuMemsetD2D16Async_ptsz
        393  188 00205D8E cuMemsetD2D16_v2
        394  189 00205D94 cuMemsetD2D16_v2_ptds
        395  18A 00205D9A cuMemsetD2D32
        396  18B 002062A4 cuMemsetD2D32Async
        397  18C 002062AA cuMemsetD2D32Async_ptsz
        398  18D 00205DA0 cuMemsetD2D32_v2
        399  18E 00205DA6 cuMemsetD2D32_v2_ptds
        400  18F 00205D76 cuMemsetD2D8
        401  190 0020628C cuMemsetD2D8Async
        402  191 00206292 cuMemsetD2D8Async_ptsz
        403  192 00205D7C cuMemsetD2D8_v2
        404  193 00205D82 cuMemsetD2D8_v2_ptds
        405  194 00205D64 cuMemsetD32
        406  195 00206280 cuMemsetD32Async
        407  196 00206286 cuMemsetD32Async_ptsz
        408  197 00205D6A cuMemsetD32_v2
        409  198 00205D70 cuMemsetD32_v2_ptds
        410  199 00205D40 cuMemsetD8
        411  19A 00206268 cuMemsetD8Async
        412  19B 0020626E cuMemsetD8Async_ptsz
        413  19C 00205D46 cuMemsetD8_v2
        414  19D 00205D4C cuMemsetD8_v2_ptds
        415  19E 00205BA8 cuMipmappedArrayCreate
        416  19F 00205BBA cuMipmappedArrayDestroy
        417  1A0 00205BAE cuMipmappedArrayGetLevel
        418  1A1 00205BB4 cuMipmappedArrayGetSparseProperties
        419  1A2 00205E4E cuModuleGetFunction
        420  1A3 00205E54 cuModuleGetGlobal
        421  1A4 00205E5A cuModuleGetGlobal_v2
        422  1A5 00206154 cuModuleGetSurfRef
        423  1A6 00205E60 cuModuleGetTexRef
        424  1A7 00205E30 cuModuleLoad
        425  1A8 00205E36 cuModuleLoadData
