
Dump of file C:\Windows\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_a51067c0ac557884\nvcuda32.dll

File Type: DLL

  Section contains the following exports for nvcuda.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
         537 number of functions
         537 number of names

    ordinal hint RVA      name

        465  1D0 001F6AF0 cuStreamGetAttribute
        466  1D1 001CD140 cuStreamGetAttribute_ptsz
        467  1D2 001F6340 cuStreamGetCaptureInfo
        468  1D3 001CC4B0 cuStreamGetCaptureInfo_ptsz
        469  1D4 001F2E70 cuStreamGetCtx
        470  1D5 001CB670 cuStreamGetCtx_ptsz
        471  1D6 001F2BC0 cuStreamGetFlags
        472  1D7 001CB3C0 cuStreamGetFlags_ptsz
        473  1D8 001F2930 cuStreamGetPriority
        474  1D9 001CB130 cuStreamGetPriority_ptsz
        475  1DA 001F6160 cuStreamIsCapturing
        476  1DB 001CC2D0 cuStreamIsCapturing_ptsz
        477  1DC 001F3710 cuStreamQuery
        478  1DD 001CC8C0 cuStreamQuery_ptsz
        479  1DE 001F6CF0 cuStreamSetAttribute
        480  1DF 001CD340 cuStreamSetAttribute_ptsz
        481  1E0 001F38E0 cuStreamSynchronize
        482  1E1 001CCAA0 cuStreamSynchronize_ptsz
        483  1E2 001F30F0 cuStreamWaitEvent
        484  1E3 001CB8F0 cuStreamWaitEvent_ptsz
        485  1E4 001F48F0 cuStreamWaitValue32
        486  1E5 001D04E0 cuStreamWaitValue32_ptsz
        487  1E6 001F4D20 cuStreamWaitValue64
        488  1E7 001D06F0 cuStreamWaitValue64_ptsz
        489  1E8 001F46E0 cuStreamWriteValue32
        490  1E9 001D0910 cuStreamWriteValue32_ptsz
